Field100,,Holds,Holds,UD Latencies,UD Latencies,DD Latencies,DD Latencies
,,mean,std,mean,std,mean,std
subject,sessionIndex,,,,,,
P1157,8,95.962,24.516,173.31,192.291,271.545,190.502
P1158,1,110.807,27.657,268.182,342.47,378.264,336.671
P1158,2,114.829,32.077,200.637,220.5,314.759,210.625
P1158,3,121.05,33.421,222.711,244.488,342.568,235.51
P1158,4,124.322,39.192,178.917,200.691,302.295,189.065
P1158,5,124.362,34.97,177.003,187.502,300.603,175.956
P1158,6,124.001,37.356,172.361,191.534,295.194,179.445
P1158,7,126.49,36.912,164.693,213.301,289.911,200.959
P1158,8,133.22,40.592,148.429,168.538,281.035,155.422
P1159,1,71.953,12.193,223.819,221.428,294.441,221.144
P1159,2,73.759,14.472,210.825,198.928,282.985,198.21
P1159,3,72.831,13.967,217.763,210.009,289.0,210.486
P1159,4,73.828,14.66,194.958,169.428,267.001,170.368
P1159,5,75.472,14.056,193.468,178.045,267.945,178.197
P1159,6,73.312,14.013,158.794,126.624,230.332,125.6
P1159,7,72.566,14.707,182.204,197.204,253.116,195.649
P1159,8,72.519,14.381,186.416,184.591,257.498,183.748
P1160,1,83.589,21.131,203.848,258.191,289.259,260.761
P1160,2,87.08,23.374,176.342,198.109,264.615,202.058
P1160,3,86.372,22.114,124.913,143.857,212.496,143.7
P1160,4,89.935,23.507,108.968,123.456,200.03,120.825
P1160,5,83.14,20.944,91.922,108.696,176.771,104.223
P1160,6,88.745,26.151,115.76,143.826,206.488,140.301
P1160,7,90.46,26.528,104.737,121.653,197.544,117.038
P1160,8,81.998,22.802,100.074,111.525,183.805,107.461
P1161,1,91.988,23.597,62.345,88.906,157.552,90.119
P1161,2,93.843,26.353,45.127,78.549,142.482,75.169
P1161,3,94.187,55.217,46.543,176.387,143.826,180.263
P1161,4,95.772,23.375,36.722,77.93,135.389,79.244
P1161,5,92.974,20.436,34.632,73.547,129.814,71.609
P1161,6,99.194,23.673,28.595,78.564,129.681,75.745
P1161,7,98.686,22.391,22.962,74.476,123.689,70.398
P1161,8,96.067,20.651,30.752,67.744,129.525,64.718
P1162,1,145.613,30.119,208.312,246.06,355.315,246.334
P1162,2,157.259,35.786,126.377,159.587,286.581,152.75
P1162,3,155.579,37.675,96.288,139.06,255.172,135.945
P1162,4,150.494,37.624,83.044,126.465,236.62,117.592
P1162,5,154.321,39.935,77.552,148.674,235.508,146.314
P1162,6,149.11,40.033,61.94,148.021,214.659,143.69
P1162,7,145.358,39.586,65.057,159.985,213.095,154.636
P1162,8,156.99,40.55,65.744,161.74,226.178,162.206
P1163,1,142.966,26.297,181.861,238.393,326.814,234.583
P1163,2,145.757,28.504,152.685,207.292,300.614,204.843
P1163,3,142.503,27.91,164.702,212.371,309.208,211.713
P1163,4,133.771,26.037,126.052,308.517,261.95,307.076
P1163,5,149.181,28.304,139.318,182.252,290.615,180.412
P1163,6,128.207,26.312,110.492,162.229,240.951,157.329
P1163,7,140.24,25.655,123.1,174.116,266.045,169.735
P1163,8,136.129,30.325,127.613,245.116,266.5,240.56
