Stress132,,Holds,Holds,UD Latencies,UD Latencies,DD Latencies,DD Latencies
,,mean,std,mean,std,mean,std
subject,sessionIndex,,,,,,
s229,2,134.817,50.139,96.9,128.415,220.255,133.575
s229,3,128.707,46.837,82.231,113.756,199.042,116.301
s229,4,129.826,48.109,77.131,119.175,194.903,122.307
s230,1,94.758,24.801,62.256,85.262,154.338,90.723
s230,2,94.363,26.481,36.185,59.106,126.078,61.969
s230,3,90.238,24.813,33.054,54.359,118.886,56.514
s230,4,86.283,25.922,40.173,65.502,122.267,69.818
s231,1,57.07,7.729,104.561,78.818,161.548,78.66
s231,2,55.827,8.038,111.685,103.001,167.4,103.252
s231,3,55.816,7.173,100.526,91.64,156.332,91.822
s231,4,57.248,8.031,106.211,87.066,163.402,86.682
s232,1,107.409,32.005,31.018,76.723,133.852,72.449
s232,2,106.416,34.989,16.928,62.522,118.591,56.352
s232,3,103.026,33.223,8.9,55.892,107.028,47.563
s232,4,105.406,31.991,4.703,57.488,105.398,50.521
s233,1,110.327,47.766,60.909,115.558,168.18,109.886
s233,2,109.821,40.19,33.661,103.058,142.001,95.612
s233,3,107.339,39.727,36.03,98.638,142.63,86.853
s233,4,107.241,38.806,36.116,109.178,141.915,101.257
s234,1,66.688,13.047,67.901,90.958,134.562,90.31
s234,2,66.069,14.945,66.743,92.52,132.868,91.947
s234,3,62.929,14.888,62.011,86.463,124.992,84.216
s234,4,66.823,17.208,57.832,81.009,124.705,79.353
s235,1,74.734,26.551,58.589,80.33,133.776,80.779
s235,2,86.661,33.7,42.61,76.007,129.999,68.088
s235,3,81.682,30.743,36.571,68.156,118.835,60.514
s235,4,83.271,32.59,42.126,73.489,125.958,66.205
s236,1,95.776,32.792,79.581,153.215,175.332,152.394
s236,2,105.125,33.147,52.815,110.636,158.007,107.499
s236,3,103.508,34.482,43.795,101.495,147.593,96.604
s236,4,104.991,36.771,45.674,117.527,151.014,114.474
s237,1,74.696,24.311,50.655,74.214,124.286,74.218
s237,2,79.561,26.364,55.284,87.771,134.172,86.96
s237,3,75.285,24.627,57.837,84.273,132.369,80.664
s237,4,77.331,25.41,50.126,78.662,126.114,74.423
s238,1,83.656,30.754,43.762,77.969,125.635,76.488
s238,2,84.88,30.884,40.005,72.107,122.454,69.717
s238,3,79.559,31.089,34.675,62.429,111.701,57.726
s238,4,79.477,29.546,32.272,60.478,109.092,56.271
s239,1,73.943,22.821,58.749,76.89,131.429,75.186
s239,2,77.417,24.34,53.151,77.92,129.312,78.054
s239,3,74.333,22.55,42.886,70.642,116.466,68.582
s239,4,87.371,27.621,65.677,84.012,151.856,80.256
s240,1,73.698,17.247,141.482,169.473,215.112,171.369
s240,2,65.741,12.97,116.51,115.176,182.227,114.332
s240,3,63.242,11.041,108.135,94.852,171.347,94.069
s240,4,63.438,11.638,102.578,120.597,166.115,119.232
s241,1,94.47,24.862,57.537,80.538,150.203,76.289
s241,2,98.927,26.12,45.322,87.018,141.034,83.272
s241,3,100.278,25.774,46.058,90.375,143.085,84.436
s241,4,100.593,24.739,37.353,107.934,134.323,102.802
s242,1,103.323,33.701,42.432,71.73,145.465,67.064
s242,2,101.339,33.283,30.527,64.824,130.58,57.813
s242,3,97.114,39.991,30.258,69.471,127.238,55.552
s242,4,105.238,40.691,24.38,72.096,130.064,58.034
s243,1,132.118,46.826,21.559,94.449,145.295,90.896
s243,2,135.684,47.899,19.166,92.587,146.825,87.557
s243,3,144.097,47.913,7.849,89.309,144.601,80.181
s243,4,144.814,50.687,-0.853,88.962,137.16,81.502
s244,1,80.571,19.107,108.596,108.043,189.299,110.147
s244,2,96.557,22.576,99.938,100.995,196.797,100.994
s244,3,90.899,20.424,82.705,91.873,174.039,90.116
s244,4,84.789,18.028,86.19,89.881,171.427,89.743
s245,1,61.04,13.593,126.739,150.826,187.464,150.703
s245,2,66.75,15.943,107.032,128.1,173.552,128.874
s245,3,67.487,15.419,85.251,111.17,152.766,111.937
s245,4,67.807,14.984,79.204,97.188,146.953,96.874
s246,1,109.63,49.303,8.098,83.108,118.154,66.181
